,trip_durations,distances
0,48.24565009898492,6.198127900487162
2,49.69732315732586,6.210132320768095
4,49.15323313419288,6.191476749059734
6,48.02488621245869,6.201025170331263
8,49.4156376209382,6.195149590972977
10,49.09464449974599,6.195550054938901
12,45.23632297372093,6.198502554063984
14,52.32840307514961,6.176172279714191
16,51.21434809589074,6.193227324035108
18,51.70731098919395,6.189996034002799
20,50.84381864454756,6.19205036761666
22,44.45804282377885,6.187684212384028
24,49.9695545642486,6.211717321798106
26,49.61390677867376,6.200905519021535
28,49.11710713215862,6.188422277289796
30,48.91944232133636,6.207978664789532
32,52.05004813436852,6.179791102771076
34,50.19602107870245,6.195690357204267
36,51.77959396642812,6.1863483329046165
38,49.87866526907903,6.186876087578908
40,50.87198074677266,6.223544207037901
42,46.35083177387988,6.203679110246224
44,50.30140808301323,6.196204428634253
46,48.70640994792682,6.180037124802301
48,51.26170310392311,6.189474826985019
50,50.59539657393258,6.2013251613765705
52,49.22322672028985,6.198602682773435
54,49.72006756383506,6.186199458016962
56,51.34608118544388,6.202665590285278
58,50.0291493795128,6.203456112961777
60,51.35691276978998,6.213198569538654
62,51.76110812488153,6.195855468289044
64,48.5309786494177,6.195582458599975
66,49.59934574253971,6.213799472310051
68,52.26858338223251,6.185355898168805
70,48.83798875016851,6.198888186972887
72,53.26978141731403,6.189559500213898
74,49.49511768597484,6.206870217636662
76,50.11867692046415,6.1995507766907965
78,50.46740872769485,6.201812627116306
80,50.98536279612017,6.199988470993028
82,49.88881718623182,6.222142426349137
84,47.2135372033753,6.19263253158814
86,49.64022308350972,6.211554972220759
88,48.14110612758319,6.195044943766088
90,53.86050335948621,6.195529210746996
92,52.243743695592,6.197251966688767
94,49.6498161188516,6.209953408482631
96,48.41502397938043,6.198726566549731
98,47.19128149806535,6.194085988408725
100,50.42552668391677,6.214584699837921
102,51.00728124213933,6.206542298955477
104,51.88232510664233,6.2117579991266725
106,50.88354853625514,6.201063464389285
108,51.67271084050448,6.188212847259402
110,48.74122103618446,6.218144836109992
112,48.79270781839194,6.20990593542221
114,49.62480666717946,6.185314747759623
116,49.0086281238525,6.195072790853455
118,48.23414978802221,6.204392056772596
120,51.058205043138194,6.214411407458898
122,50.53321275055892,6.193998370774104
124,52.25261786161337,6.175228206214928
126,46.76919018831202,6.189246538413452
128,49.98955326904034,6.193368585225305
130,50.52895054832567,6.210596816698866
132,49.187271342823706,6.207125062921539
134,50.50068210858443,6.204611170674097
136,51.82297388984742,6.19408319272836
138,48.80503353797765,6.1801816962202
140,48.792577893703935,6.187913142082098
142,47.57632041014826,6.207481655432807
144,48.24895239486764,6.204531389390678
146,47.12019540871967,6.192138577983407
148,51.54240881502209,6.200603283441753
150,49.98640844904845,6.207644332680966
152,47.62271731439253,6.215596803589783
154,48.41371163045602,6.19334616178595
156,51.89332413103728,6.201328520500353
158,52.8511308289807,6.202555734447092
160,51.9655695334792,6.198133863193224
162,50.60932545643226,6.181385505302977
