,trip_durations,distances
2,49.69732315732586,6.210132320768095
28,49.11710713215862,6.188422277289796
54,49.72006756383506,6.186199458016962
21,47.684698308002645,6.192672118057278
83,49.43670963651087,6.198706508411371
121,49.57429517290806,6.216639952245303
24,49.9695545642486,6.211717321798106
25,51.88892971519941,6.213605701139513
111,50.50690356496714,6.215332585549203
130,50.52895054832567,6.210596816698866
46,48.70640994792682,6.180037124802301
4,49.15323313419288,6.191476749059734
19,46.79781886006456,6.191630175202099
127,49.67979317623977,6.202650677991652
53,50.68261557782369,6.191863286647783
159,49.87732804138757,6.20418640934017
115,53.988955350012986,6.183728861030293
78,50.46740872769485,6.201812627116306
39,49.9027593458895,6.181076061567036
81,52.16214591567562,6.203202240990585
154,48.41371163045602,6.19334616178595
124,52.25261786161337,6.175228206214928
116,49.0086281238525,6.195072790853455
99,48.999467455757696,6.207578450185128
140,48.792577893703935,6.187913142082098
36,51.77959396642812,6.1863483329046165
32,52.05004813436852,6.179791102771076
151,48.5374584351974,6.198084703118973
14,52.32840307514961,6.176172279714191
148,51.54240881502209,6.200603283441753
6,48.02488621245869,6.201025170331263
162,50.60932545643226,6.181385505302977
45,49.085430324945335,6.19996210926941
138,48.80503353797765,6.1801816962202
122,50.53321275055892,6.193998370774104
97,51.80075639140684,6.203758258110416
60,51.35691276978998,6.213198569538654
160,51.9655695334792,6.198133863193224
134,50.50068210858443,6.204611170674097
59,48.17582201825787,6.204299782132513
155,50.50344178700544,6.194751409631224
145,49.16352621531685,6.187409909228014
95,48.56522476045514,6.196380691959711
106,50.88354853625514,6.201063464389285
118,48.23414978802221,6.204392056772596
76,50.11867692046415,6.1995507766907965
11,49.66119976592479,6.186986261569916
141,48.47845973956661,6.201217440944216
47,46.96104078471664,6.1918391823897645
52,49.22322672028985,6.198602682773435
