,trip_durations,distances
0,38.83904120721126,6.005465077966585
2,40.27481690211209,6.0021767145682485
4,39.06518166551858,5.984640432581712
6,42.02014115135242,5.990792239485781
8,40.47239244532343,5.997600491909654
10,41.062291907427685,5.991401101236862
12,38.35616004232782,6.006339394873934
14,41.1777002671792,5.991044918698443
16,40.35891657044462,6.001173277229215
18,39.91885179235641,6.004963654057969
20,39.55686650929604,5.988315523065198
22,39.80824824754496,6.017050828412104
24,41.56111817848412,6.002773121924183
26,42.55144882299472,6.00151634780947
28,39.43474888619359,5.981320938225936
30,38.99531290786003,6.002277807253359
32,41.53627995694896,5.992496637003402
34,42.64109691147,5.994426364233805
36,40.01875066999604,5.999016868146564
38,39.67066436415941,5.993034590632439
40,37.58360142136945,5.998477500745468
42,42.28735091695568,5.991233583032091
44,40.138675766356165,5.9843784527706
46,37.73889364037711,5.9840807945733365
48,40.74070221134613,6.011502189945391
50,38.54706896224291,5.996544480470335
52,40.16513211558664,6.005672374027884
54,38.72068501997638,6.0013712583819405
56,40.063341600851885,6.010831883448809
58,40.59721693767853,6.007328713819042
60,40.7543862499029,5.995121889496327
62,38.60633560624771,6.002431190361508
64,37.36069538828248,5.998393066718039
66,37.87635666930184,6.017467745877633
68,39.53059962680248,5.99234890852278
